MC_MoveAbsolute_1,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,,18,102,Call,,MC_MoveAbsolute,,,VAR,FB,,,
MC_MoveAbsolute_1,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,MC_MoveAbsolute,,,VAR,DEFINITION,,,
ROD3_ROT,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,21,87,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,"ROD 3 ROTATION, AXIS 8",
ROD3_ROT,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,OUT,21,132,Write,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,"ROD 3 ROTATION, AXIS 8",
ROD3_ROT,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,"ROD 3 ROTATION, AXIS 8",
ROD3_ROT_DIR,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,49,83,Read,,MC_Direction,,,VAR_EXTERNAL,GLOBAL,,,
ROD3_ROT_DIR,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,MC_Direction,,,VAR_EXTERNAL,DEFINITION,,,
ROD3_ROT_DN,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,25,89,Read,-|/|-,BOOL,,,VAR,LOCAL,,,
ROD3_ROT_DN,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,OUT,25,132,Write,,BOOL,,,VAR,LOCAL,,,
ROD3_ROT_DN,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,BOOL,,,VAR,DEFINITION,,,
ROD3_ROT_EN,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,25,44,Read,-| |-,BOOL,,,VAR_INPUT,LOCAL,,,
ROD3_ROT_EN,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,BOOL,,,VAR_INPUT,DEFINITION,,,
ROD3_ROT_MOVE,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,29,81,Read,,LREAL,,,VAR_EXTERNAL,GLOBAL,,,
ROD3_ROT_MOVE,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,,
Rod3_Rotation_Calc_1,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,,64,39,Call,,Rod3_Rotation_Calc,,,VAR,FB,,,
Rod3_Rotation_Calc_1,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,Rod3_Rotation_Calc,,,VAR,DEFINITION,,,
ROD3_SHOOT,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,25,74,Read,-|/|-,BOOL,,,VAR_EXTERNAL,GLOBAL,,,
ROD3_SHOOT,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,,
ROT_ACC,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,37,89,Read,,LREAL,,,VAR,LOCAL,,,
ROT_ACC,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,41,89,Read,,LREAL,,,VAR,LOCAL,,,
ROT_ACC,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,LREAL,,,VAR,DEFINITION,,,
ROT_ROD3,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,25,59,Read,-| |-,BOOL,,,VAR_EXTERNAL,GLOBAL,,,
ROT_ROD3,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,,
ROT_VEL,POE\Rod3_Move_Rot\Rod3_Move_Rot.GB,IN,33,89,Read,,LREAL,,,VAR,LOCAL,,,
ROT_VEL,POE\Rod3_Move_Rot\Rod3_Move_RotV.VB,,,,,,LREAL,,,VAR,DEFINITION,,,
