Read_Positions_1,POE\IO\IO.GB,,3,4,Call,,Read_Positions,,,VAR,FB,,,
Read_Positions_1,POE\IO\IOV.VB,,,,,,Read_Positions,,,VAR,DEFINITION,,,
Read_Torques_1,POE\IO\IO.GB,,3,126,Call,,Read_Torques,,,VAR,FB,,,
Read_Torques_1,POE\IO\IOV.VB,,,,,,Read_Torques,,,VAR,DEFINITION,,,
Read_Velocities_1,POE\IO\IO.GB,,3,64,Call,,Read_Velocities,,,VAR,FB,,,
Read_Velocities_1,POE\IO\IOV.VB,,,,,,Read_Velocities,,,VAR,DEFINITION,,,
ROD1_ROT_POSITION,POE\IO\IO.GB,OUT,10,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 1 ANGULAR POSITION (DEGREE),
ROD1_ROT_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 1 ANGULAR POSITION (DEGREE),
ROD1_ROT_VELOCITY,POE\IO\IO.GB,OUT,10,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 1 ANGULAR VELOCITY (DEGREE/S),
ROD1_ROT_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 1 ANGULAR VELOCITY (DEGREE/S),
ROD1_TRAN_POSITION,POE\IO\IO.GB,OUT,6,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 1 LINEAR POSITION (MM),
ROD1_TRAN_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 1 LINEAR POSITION (MM),
ROD1_TRAN_VELOCITY,POE\IO\IO.GB,OUT,6,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 1 LINEAR VELOCITY (MM/S),
ROD1_TRAN_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 1 LINEAR VELOCITY (MM/S),
ROD2_ROT_POSITION,POE\IO\IO.GB,OUT,18,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 2 ANGULAR POSITION (DEGREE),
ROD2_ROT_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 2 ANGULAR POSITION (DEGREE),
ROD2_ROT_VELOCITY,POE\IO\IO.GB,OUT,18,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 2 ANGULAR VELOCITY (DEGREE/S),
ROD2_ROT_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 2 ANGULAR VELOCITY (DEGREE/S),
ROD2_TRAN_POSITION,POE\IO\IO.GB,OUT,14,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 2 LINEAR POSITION (MM),
ROD2_TRAN_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 2 LINEAR POSITION (MM),
ROD2_TRAN_VELOCITY,POE\IO\IO.GB,OUT,14,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 2 LINEAR VELOCITY (MM/S),
ROD2_TRAN_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 2 LINEAR VELOCITY (MM/S),
ROD3_ROT_POSITION,POE\IO\IO.GB,OUT,26,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 3 ANGULAR POSITION (DEGREE),
ROD3_ROT_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 3 ANGULAR POSITION (DEGREE),
ROD3_ROT_VELOCITY,POE\IO\IO.GB,OUT,26,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 3 ANGULAR VELOCITY (DEGREE/S),
ROD3_ROT_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 3 ANGULAR VELOCITY (DEGREE/S),
ROD3_TRAN_POSITION,POE\IO\IO.GB,OUT,22,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 3 LINEAR POSITION (MM),
ROD3_TRAN_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 3 LINEAR POSITION (MM),
ROD3_TRAN_VELOCITY,POE\IO\IO.GB,OUT,22,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 3 LINEAR VELOCITY (MM/S),
ROD3_TRAN_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 3 LINEAR VELOCITY (MM/S),
ROD4_ROT_POSITION,POE\IO\IO.GB,OUT,34,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 4 ANGULAR POSITION (DEGREE),
ROD4_ROT_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 4 ANGULAR POSITION (DEGREE),
ROD4_ROT_VELOCITY,POE\IO\IO.GB,OUT,34,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 4 ANGULAR VELOCITY (DEGREE/S),
ROD4_ROT_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 4 ANGULAR VELOCITY (DEGREE/S),
ROD4_TRAN_POSITION,POE\IO\IO.GB,OUT,30,32,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 4 LINEAR POSITION (MM),
ROD4_TRAN_POSITION,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 4 LINEAR POSITION (MM),
ROD4_TRAN_VELOCITY,POE\IO\IO.GB,OUT,30,92,Write,,LREAL,,,VAR_EXTERNAL,GLOBAL,,ROD 4 LINEAR VELOCITY (MM/S),
ROD4_TRAN_VELOCITY,POE\IO\IOV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,ROD 4 LINEAR VELOCITY (MM/S),
