DEF_ROT,POE\HOME_RODS\HOME_RODS.GB,IN,31,77,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
DEF_ROT,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
DEF_TRANS,POE\HOME_RODS\HOME_RODS.GB,IN,27,75,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
DEF_TRANS,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
FWD_ROT,POE\HOME_RODS\HOME_RODS.GB,IN,57,77,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
FWD_ROT,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
FWD_TRANS,POE\HOME_RODS\HOME_RODS.GB,IN,53,75,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
FWD_TRANS,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
GOL_ROT,POE\HOME_RODS\HOME_RODS.GB,IN,31,39,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
GOL_ROT,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
GOL_TRANS,POE\HOME_RODS\HOME_RODS.GB,IN,27,37,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
GOL_TRANS,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
HOME_ALL,POE\HOME_RODS\HOME_RODS.GB,IN,45,9,Read,,BOOL,,,VAR_INPUT,LOCAL,,,
HOME_ALL,POE\HOME_RODS\HOME_RODSV.VB,,,,,,BOOL,,,VAR_INPUT,DEFINITION,,,
HOME_DEF,POE\HOME_RODS\HOME_RODS.GB,,24,90,Call,,HOME_ROD,,,VAR,FB,,,
HOME_DEF,POE\HOME_RODS\HOME_RODSV.VB,,,,,,HOME_ROD,,,VAR,DEFINITION,,,
HOME_FWD,POE\HOME_RODS\HOME_RODS.GB,,50,91,Call,,HOME_ROD,,,VAR,FB,,,
HOME_FWD,POE\HOME_RODS\HOME_RODSV.VB,,,,,,HOME_ROD,,,VAR,DEFINITION,,,
HOME_GOL,POE\HOME_RODS\HOME_RODS.GB,,24,52,Call,,HOME_ROD,,,VAR,FB,,,
HOME_GOL,POE\HOME_RODS\HOME_RODSV.VB,,,,,,HOME_ROD,,,VAR,DEFINITION,,,
HOME_MID,POE\HOME_RODS\HOME_RODS.GB,,50,52,Call,,HOME_ROD,,,VAR,FB,,,
HOME_MID,POE\HOME_RODS\HOME_RODSV.VB,,,,,,HOME_ROD,,,VAR,DEFINITION,,,
MID_ROT,POE\HOME_RODS\HOME_RODS.GB,IN,57,39,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
MID_ROT,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
MID_TRANS,POE\HOME_RODS\HOME_RODS.GB,IN,53,37,Read,,AXIS_REF,,,VAR_EXTERNAL,GLOBAL,,,
MID_TRANS,POE\HOME_RODS\HOME_RODSV.VB,,,,,,AXIS_REF,,,VAR_EXTERNAL,DEFINITION,,,
