MC_SetPosition_ROT,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,,59,70,Call,,MC_SetPosition,,,VAR,FB,,,
MC_SetPosition_ROT,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_RODV.VB,,,,,,MC_SetPosition,,,VAR,DEFINITION,,,
MC_SetPosition_TRANS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,,25,70,Call,,MC_SetPosition,,,VAR,FB,,,
MC_SetPosition_TRANS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_RODV.VB,,,,,,MC_SetPosition,,,VAR,DEFINITION,,,
ROT_AXIS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,IN,62,56,Read,,AXIS_REF,,,VAR_INPUT,LOCAL,,,
ROT_AXIS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,OUT,62,88,Write,,AXIS_REF,,,VAR_INPUT,LOCAL,,,
ROT_AXIS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_RODV.VB,,,,,,AXIS_REF,,,VAR_INPUT,DEFINITION,,,
SET_ZERO,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,IN,52,12,Read,-| |-,BOOL,,,VAR_INPUT,LOCAL,,,
SET_ZERO,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_RODV.VB,,,,,,BOOL,,,VAR_INPUT,DEFINITION,,,
TRANS_AXIS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,IN,28,54,Read,,AXIS_REF,,,VAR_INPUT,LOCAL,,,
TRANS_AXIS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_ROD.GB,OUT,28,88,Write,,AXIS_REF,,,VAR_INPUT,LOCAL,,,
TRANS_AXIS,POE\ZERO_SINGLE_ROD\ZERO_SINGLE_RODV.VB,,,,,,AXIS_REF,,,VAR_INPUT,DEFINITION,,,
